token,Symbol
11813,SHOPERSTOP
10588,SHREEPUSHK
17186,SHRIPISTON
4306,SHRIRAMFIN
4693,SHYAMMETL
16658,SIGMA
18743,SIGNATURE
9422,SILVERTUC
11050,SIRCA
14096,SIYSIL
6643,SJS
9428,SKIPPER
3387,SMLISUZU
13826,SOBHA
3672,SOLARA
3880,SOMANYCERA
4684,SONACOMS
6596,SONATSOFTW
3021,SOTL
18252,SPAL
11435,SPANDANA
9617,SPLPETRO
3273,SRF
18119,SRGHFL
14582,SRHHYPOLTD
24226,STANLEY
7083,STARHEALTH
9305,STARTECK
6803,STEELCAS
4299,STERTOOLS
2107,STOVEKRAFT
5186,STYLAMIND
25114,STYLEBAAZA
19,STYRENIX
3324,SUBROS
3327,SUDARSCHEM
13218,SULA
17105,SUMICHEM
21275,SUMMITSEC
20956,SUNCLAY
2183,SUNDARMHLD
3345,SUNDRMFAST
3351,SUNPHARMA
17641,SUNTECK
13404,SUNTV
11689,SUPRAJIT
7390,SUPRIYA
20822,SURAJEST
27334,SURAKSHA
3375,SURYAROSNI
17945,SUVENPHAR
24851,SUYOG
27095,SWANENERGY
11909,SWELECTES
27066,SWIGGY
12489,SWSOLAR
24190,SYMPHONY
10243,SYNGENE
10793,SYRMA
3396,TAINWALCHM
9354,TAJGVK
13648,TALBROAUTO
13976,TANLA
6943,TARSONS
3405,TATACHEM
3721,TATACOMM
3432,TATACONSUM
3456,TATAMOTORS
3426,TATAPOWER
20293,TATATECH
5162,TATVA
23740,TBOTEK
19223,TCIEXP
25178,TDPOWERSYS
12716,TEAMLEASE
13538,TECHM
6445,TECHNOE
7105,TEGA
21131,TEJASNET
18118,THANGAMAYL
19279,THEJO
14485,THEMISMED
17032,THYROCARE
14223,TIIL
14707,TIMETECHNO
14198,TIMKEN
9117,TIPSMUSIC
3496,TIRUMALCHM
15414,TITAGARH
13786,TORNTPOWER
28714,TRANSRAILL
3129,TRANSWORLD
17987,TRF
25584,TRITURBINE
13081,TRIVENI
11369,TTKHLTCARE
3546,TTKPRESTIG
11265,TVSELECT
8479,TVSMOTOR
16713,UBL
19113,UDS
1053,UFLEX
3579,UNICHEMLAB
201,UNIDT
13057,UNIPARTS
10447,UNITDSPR
17999,UNITEDTEA
18977,UNIVASTU
3607,UNIVCABLES
14154,UNOMINDA
17071,URAVIDEF
8840,USHAMART
527,UTIAMC
10511,UTINIFTETF
10515,UTISENSETF
11364,VAIBHAVGBL
330,VALIANTORG
3857,VARROC
18921,VBL
3063,VEDL
14019,VEEDOL
3757,VENKEYS
28847,VENTIVE
9592,VENUSPIPES
13859,VENUSREM
15362,VGUARD
13536,VIDHIING
5585,VIJAYA
13101,VIMTALABS
17364,VINATIORGA
16821,VINYLINDIA
3703,VIPIND
6908,VISHNU
25907,WAAREEENER
20188,WABAG
11821,WELCORP
19800,WELINV
18011,WHIRLPOOL
24969,WINDMACHIN
18131,YASHO
17738,YATHARTH
18608,ZAGGLE
11394,ZOTA
3827,ZUARIIND
7929,ZYDUSLIFE
17635,ZYDUSWELL
